Book Id,Title,Author,isbn,isbn13,publication_date,publisher,genres
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,439785960,9780439785969,9/16/2006,Scholastic Inc.,Fantasy/Young Adult/Fiction/Fantasy: Magic/Childrens/Adventure/Audiobook/Childrens: Middle Grade/Classics/Science Fiction Fantasy
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,439358078,9780439358071,9/1/2004,Scholastic Inc.,Fantasy/Young Adult/Fiction/Fantasy: Magic/Childrens/Adventure/Audiobook/Childrens: Middle Grade/Classics/Science Fiction Fantasy
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,439554896,9780439554893,11/1/2003,Scholastic,Fantasy/Fiction/Young Adult/Fantasy: Magic/Childrens/Childrens: Middle Grade/Audiobook/Adventure/Classics/Science Fiction Fantasy
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,9780439655484,5/1/2004,Scholastic Inc.,Fantasy/Fiction/Young Adult/Fantasy: Magic/Childrens/Childrens: Middle Grade/Adventure/Audiobook/Classics/Science Fiction Fantasy
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,439682584,9780439682589,9/13/2004,Scholastic,Fantasy/Young Adult/Fiction/Fantasy: Magic/Adventure/Fantasy: Supernatural/Mystery/Childrens/Fantasy: Paranormal/Childrens: Middle Grade
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,976540606,9780976540601,4/26/2005,Nimble Books,Fiction
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,439827604,9780439827607,9/12/2005,Scholastic,Fantasy/Fiction/Young Adult/Fantasy: Magic/Childrens/Classics/Adventure/Science Fiction Fantasy/Novels/Paranormal: Wizards
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517226952,9780517226957,11/1/2005,Gramercy Books,Science Fiction/Fiction/Humor/Fantasy/Classics/Humor: Comedy/Science Fiction Fantasy/Adventure/Novels/European Literature: British Literature
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,345453743,9780345453747,4/30/2002,Del Rey Books,Science Fiction/Fiction/Humor/Fantasy/Classics/Humor: Comedy/Science Fiction Fantasy/Adventure/Novels/European Literature: British Literature
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,9781400052929,8/3/2004,Crown,Science Fiction/Fiction/Humor/Classics/Fantasy/Humor: Comedy/Science Fiction Fantasy/Audiobook/Adventure/Novels
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,739322206,9780739322208,3/23/2005,Random House Audio,Science Fiction/Fiction/Humor/Classics/Fantasy/Humor: Comedy/Science Fiction Fantasy/Audiobook/Adventure/Novels
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517149257,9780517149256,1/17/1996,Wings Books,Science Fiction/Fiction/Humor/Fantasy/Classics/Humor: Comedy/Science Fiction Fantasy/Adventure/Novels/European Literature: British Literature
21,A Short History of Nearly Everything,Bill Bryson,076790818X,9780767908184,9/14/2004,Broadway Books,Nonfiction/Science/History/Audiobook/Humor/Science: Physics/Science: Popular Science/Historical/Philosophy/Unfinished
22,Bill Bryson's African Diary,Bill Bryson,767915062,9780767915069,12/3/2002,Broadway Books,Travel/Nonfiction/Cultural: Africa/Autobiography: Memoir/Humor/Eastern Africa: Kenya/Biography/Adventure/Travel: Travelogue/History
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,767910435,9780767910439,9/14/2004,Broadway Books,Nonfiction/Language: Writing/Humanities: Language/Reference/Humanities: Linguistics/Humor/Language: Words/Reference: Dictionaries/History/Writing: Books About Books
24,In a Sunburned Country,Bill Bryson,767903862,9780767903868,5/15/2001,Broadway Books,Travel/Nonfiction/Humor/Cultural: Australia/Autobiography: Memoir/Audiobook/History/Adventure/Biography/Travel: Travelogue
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,9780767903820,6/28/2000,Broadway Books,Nonfiction/Travel/Humor/Autobiography: Memoir/Writing: Essays/Biography/Audiobook/Literature: American/The United States Of America/Humor: Comedy
26,The Lost Continent: Travels in Small Town America,Bill Bryson,60920084,9780060920081,8/28/1990,William Morrow Paperbacks,Travel/Nonfiction/Humor/Autobiography: Memoir/Audiobook/Literature: American/Biography/The United States Of America/Travel: Travelogue/Humor: Comedy
27,Neither Here nor There: Travels in Europe,Bill Bryson,380713802,9780380713806,3/28/1993,William Morrow Paperbacks,Travel/Nonfiction/Humor/Autobiography: Memoir/Biography/Audiobook/Travel: Travelogue/Adventure/Writing: Essays/Humor: Comedy
28,Notes from a Small Island,Bill Bryson,380727501,9780380727506,5/28/1997,William Morrow Paperbacks,Travel/Nonfiction/Humor/Autobiography: Memoir/European Literature: British Literature/Biography/Audiobook/Humor: Comedy/History/Travel: Travelogue
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,380715430,9780380715435,9/28/1991,William Morrow Paperbacks,Nonfiction/History/Humanities: Language/Humanities: Linguistics/Humor/Audiobook/Language: Writing/Travel/Reference/Science
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,345538374,9780345538376,9/25/2012,Ballantine Books,Fantasy/Fiction/Classics/Adventure/Science Fiction Fantasy/Fantasy: Epic Fantasy/Fantasy: High Fantasy/Young Adult/Literature/Fantasy: Magic
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,618517650,9780618517657,10/21/2004,Houghton Mifflin Harcourt,Fantasy/Classics/Fiction/Adventure/Science Fiction Fantasy/Fantasy: Epic Fantasy/Fantasy: High Fantasy/Literature/Novels/Young Adult
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,618346252,9780618346257,9/5/2003,Houghton Mifflin Harcourt,Fantasy/Classics/Fiction/Adventure/Fantasy: High Fantasy/Science Fiction Fantasy/Fantasy: Epic Fantasy/Audiobook/Young Adult/Novels
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,618260587,9780618260584,10/1/2002,Houghton Mifflin Harcourt,Fantasy/Classics/Fiction/Adventure/Science Fiction Fantasy/Fantasy: Epic Fantasy/Fantasy: High Fantasy/Literature/Novels/Young Adult
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,618391002,9780618391004,11/5/2003,Houghton Mifflin Harcourt,Fantasy/Art/Fiction/Reference/Media Tie In/Culture: Film/Classics/Adventure/Fantasy: High Fantasy/Adult
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,618510826,9780618510825,11/15/2004,Houghton Mifflin Harcourt,Fantasy/Reference/Media Tie In/Culture: Film
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,9780976694007,7/28/2005,Pragmatic Bookshelf,Computer Science: Programming/Nonfiction/Science: Technology/Computer Science: Technical/Reference/Computer Science: Computers/Computer Science: Software/Science: Computer Science/Internet: Web/Computer Science: Coding
50,Hatchet (Brian's Saga  #1),Gary Paulsen,689840926,9780689840920,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Young Adult/Fiction/Classics/Adventure/Adventure: Survival/Childrens: Middle Grade/Childrens/Academic: School/Realistic Fiction/Academic: Read For School
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493,9781557344496,8/28/1994,Teacher Created Resources,Education
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,385326505,9780385326506,1/23/2001,Delacorte Press,Nonfiction/Biography/Adventure/Adventure: Survival/Autobiography: Memoir/Biography: Autobiography/Childrens/Childrens: Middle Grade/Biography Memoir/Academic: School
